Pharokka_7_EC78_CDS_0001,head and packaging
Pharokka_7_EC78_CDS_0002,head and packaging
Pharokka_7_EC78_CDS_0003,other
Pharokka_7_EC78_CDS_0004,head and packaging
Pharokka_7_EC78_CDS_0005,head and packaging
Pharokka_7_EC78_CDS_0006,head and packaging
Pharokka_7_EC78_CDS_0007,unknown function
Pharokka_7_EC78_CDS_0008,unknown function
Pharokka_7_EC78_CDS_0009,connector
Pharokka_7_EC78_CDS_0010,head and packaging
Pharokka_7_EC78_CDS_0011,connector
Pharokka_7_EC78_CDS_0012,tail
Pharokka_7_EC78_CDS_0013,head and packaging
Pharokka_7_EC78_CDS_0014,tail
Pharokka_7_EC78_CDS_0015,unknown function
Pharokka_7_EC78_CDS_0016,tail
Pharokka_7_EC78_CDS_0017,unknown function
Pharokka_7_EC78_CDS_0018,tail
Pharokka_7_EC78_CDS_0019,head and packaging
Pharokka_7_EC78_CDS_0020,tail
Pharokka_7_EC78_CDS_0021,tail
Pharokka_7_EC78_CDS_0022,tail
Pharokka_7_EC78_CDS_0023,tail
Pharokka_7_EC78_CDS_0024,tail
Pharokka_7_EC78_CDS_0025,tail
Pharokka_7_EC78_CDS_0026,tail
Pharokka_7_EC78_CDS_0027,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0028,tail
Pharokka_7_EC78_CDS_0029,tail
Pharokka_7_EC78_CDS_0030,tail
Pharokka_7_EC78_CDS_0031,tail
Pharokka_7_EC78_CDS_0032,other
Pharokka_7_EC78_CDS_0033,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0034,tail
Pharokka_7_EC78_CDS_0035,tail
Pharokka_7_EC78_CDS_0036,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0037,unknown function
Pharokka_7_EC78_CDS_0038,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0039,unknown function
Pharokka_7_EC78_CDS_0040,unknown function
Pharokka_7_EC78_CDS_0041,unknown function
Pharokka_7_EC78_CDS_0042,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0043,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0044,unknown function
Pharokka_7_EC78_CDS_0045,"DNA, RNA and nucleotide metabolism"
Pharokka_7_EC78_CDS_0046,unknown function
Pharokka_7_EC78_CDS_0047,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0048,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0049,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0050,"moron, auxiliary metabolic gene and host takeover"
Pharokka_7_EC78_CDS_0051,unknown function
Pharokka_7_EC78_CDS_0052,unknown function
Pharokka_7_EC78_CDS_0053,unknown function
